"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","02/24/2014","18:12:46","","datasource [beers] doesn't exist; available datasource names are []"
"ERROR","web-0","02/24/2014","18:42:49","","custom tag ""format.[cfm|cfc]"" is not defined in directory ""/Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/beers"" and directories ""/Applications/ColdFusion10/cfusion/wwwroot/custom_tags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags"""
"ERROR","web-0","02/24/2014","18:42:52","","custom tag ""format.[cfm|cfc]"" is not defined in directory ""/Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/beers"" and directories ""/Applications/ColdFusion10/cfusion/wwwroot/custom_tags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags"""
"ERROR","web-0","02/24/2014","18:43:23","","custom tag ""format.[cfm|cfc]"" is not defined in directory ""/Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/beers"" and directories ""/Applications/ColdFusion10/cfusion/wwwroot/custom_tags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags"""
"ERROR","web-0","02/24/2014","18:43:24","","custom tag ""format.[cfm|cfc]"" is not defined in directory ""/Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/beers"" and directories ""/Applications/ColdFusion10/cfusion/wwwroot/custom_tags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags"""
"ERROR","web-0","02/24/2014","18:43:26","","custom tag ""format.[cfm|cfc]"" is not defined in directory ""/Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/beers"" and directories ""/Applications/ColdFusion10/cfusion/wwwroot/custom_tags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags, /Users/sharon/Documents/projects/talks/2014/boston-cfug-adding-angular/demos/railo/webapps/www/WEB-INF/railo/customtags"""
"ERROR","web-0","02/24/2014","18:44:45","","key [SORTBY] doesn't exist (existing keys:page)"
"ERROR","web-0","02/24/2014","18:45:17","","key [SORTBY] doesn't exist (existing keys:page)"
"ERROR","web-0","02/24/2014","18:45:19","","key [SORTBY] doesn't exist (existing keys:page)"
"ERROR","web-0","02/24/2014","18:45:20","","key [SORTBY] doesn't exist (existing keys:page)"
